STATE,RATE,DEATHS,URL
AL,16.7,808,/nchs/pressroom/states/alabama.htm
AK,18.8,142,/nchs/pressroom/states/alaska.htm
AZ,13.4,917,/nchs/pressroom/states/arizona.htm
AR,16.4,491,/nchs/pressroom/states/arkansas.htm
CA,7.4,"2,935",/nchs/pressroom/states/california.htm
CO,12.1,658,/nchs/pressroom/states/colorado.htm
CT,4.9,186,/nchs/pressroom/states/connecticut.htm
DE,11.1,102,/nchs/pressroom/states/delaware.htm
FL,11.5,"2,408",/nchs/pressroom/states/florida.htm
GA,13.7,"1,388",/nchs/pressroom/states/georgia.htm
HI,2.6,40,/nchs/pressroom/states/hawaii.htm
ID,13.1,212,/nchs/pressroom/states/idaho.htm
IL,9,"1,167",/nchs/pressroom/states/illinois.htm
IN,12.3,812,/nchs/pressroom/states/indiana.htm
IA,7.4,239,/nchs/pressroom/states/iowa.htm
KS,11.3,328,/nchs/pressroom/states/kansas.htm
KY,13.8,627,/nchs/pressroom/states/kentucky.htm
LA,18.9,890,/nchs/pressroom/states/louisiana.htm
ME,9.3,132,/nchs/pressroom/states/maine.htm
MD,9,544,/nchs/pressroom/states/maryland.htm
MA,3.2,227,/nchs/pressroom/states/massachusetts.htm
MI,11.1,"1,093",/nchs/pressroom/states/michigan.htm
MN,6.6,374,/nchs/pressroom/states/minnesota.htm
MS,18,539,/nchs/pressroom/states/mississippi.htm
MO,15.2,939,/nchs/pressroom/states/missouri.htm
MT,15.8,170,/nchs/pressroom/states/montana.htm
NE,9.4,178,/nchs/pressroom/states/nebraska.htm
NV,14.7,426,/nchs/pressroom/states/nevada.htm
NH,8.6,121,/nchs/pressroom/states/newhampshire.htm
NJ,5.3,468,/nchs/pressroom/states/newjersey.htm
NM,15.8,336,/nchs/pressroom/states/newmexico.htm
NY,4.2,869,/nchs/pressroom/states/newyork.htm
NC,11.7,"1,201",/nchs/pressroom/states/northcarolina.htm
ND,12.1,94,/nchs/pressroom/states/northdakota.htm
OH,10.3,"1,203",/nchs/pressroom/states/ohio.htm
OK,15.6,608,/nchs/pressroom/states/oklahoma.htm
OR,11.7,497,/nchs/pressroom/states/oregon.htm
PA,10.5,"1,389",/nchs/pressroom/states/pennsylvania.htm
RI,2.9,33,/nchs/pressroom/states/rhodeisland.htm
SC,15.5,764,/nchs/pressroom/states/southcarolina.htm
SD,10.3,89,/nchs/pressroom/states/southdakota.htm
TN,14.7,986,/nchs/pressroom/states/tennessee.htm
TX,10.6,"2,823",/nchs/pressroom/states/texas.htm
UT,12.3,337,/nchs/pressroom/states/utah.htm
VT,10.3,69,/nchs/pressroom/states/vermont.htm
VA,10.3,885,/nchs/pressroom/states/virginia.htm
WA,9.6,698,/nchs/pressroom/states/washington.htm
WV,14.5,284,/nchs/pressroom/states/westvirginia.htm
WI,8.2,486,/nchs/pressroom/states/wisconsin.htm
WY,16,92,/nchs/pressroom/states/wyoming.htm
